Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,,
0日00:04:26,5.169,0.0665,0.0238,0.0046,80.44,80.43,,,
0日00:04:27,5.169,0.0904,0.0239,0.0046,80.88,80.87,,,
0日00:04:28,5.172,0.066,0.024,0.0046,81.2,81.19,,,
0日00:04:29,5.178,0.0534,0.0241,0.0047,81.46,81.45,,,
0日00:04:30,5.178,0.0533,0.0241,0.0047,81.72,81.71,,,
0日00:04:31,5.178,0.0534,0.0242,0.0047,81.98,81.97,,,
0日00:04:32,5.178,0.0534,0.0243,0.0047,82.24,82.23,,,
0日00:04:33,5.178,0.0534,0.0244,0.0047,82.5,82.49,,,
0日00:04:34,5.178,0.0558,0.0245,0.0047,82.77,82.76,,,
0日00:04:35,5.169,0.066,0.0246,0.0047,83.09,83.08,,,
0日00:04:36,5.169,0.0808,0.0247,0.0048,83.48,83.47,,,
0日00:04:37,5.175,0.0656,0.0248,0.0048,83.8,83.79,,,
0日00:04:38,5.178,0.0532,0.0248,0.0048,84.06,84.05,,,
0日00:04:39,5.178,0.0532,0.0249,0.0048,84.32,84.31,,,
0日00:04:40,5.178,0.0533,0.025,0.0048,84.58,84.57,,,
0日00:04:41,5.178,0.0533,0.0251,0.0048,84.84,84.83,,,
0日00:04:42,5.178,0.0533,0.0251,0.0049,85.1,85.09,,,
0日00:04:43,5.156,0.1173,0.0253,0.0049,85.67,85.66,,,
0日00:04:44,5.163,0.0904,0.0254,0.0049,86.11,86.1,,,
0日00:04:45,5.17,0.0706,0.0255,0.0049,86.45,86.44,,,
0日00:04:46,5.176,0.0562,0.0256,0.005,86.72,86.72,,,
0日00:04:47,5.178,0.0532,0.0257,0.005,86.98,86.98,,,
0日00:04:48,5.177,0.0532,0.0258,0.005,87.24,87.23,,,
0日00:04:49,5.178,0.0533,0.0259,0.005,87.5,87.49,,,
0日00:04:50,5.178,0.0533,0.0259,0.005,87.76,87.75,,,
0日00:04:51,5.178,0.0538,0.026,0.005,88.02,88.02,,,
0日00:04:52,5.16,0.0664,0.0261,0.005,88.34,88.34,,,
0日00:04:53,5.167,0.0904,0.0262,0.0051,88.78,88.78,,,
0日00:04:54,5.171,0.0657,0.0263,0.0051,89.1,89.1,,,
0日00:04:55,5.176,0.0556,0.0264,0.0051,89.37,89.37,,,
0日00:04:56,5.178,0.0532,0.0265,0.0051,89.63,89.63,,,
0日00:04:57,5.178,0.0533,0.0266,0.0051,89.89,89.89,,,
0日00:04:58,5.178,0.0533,0.0266,0.0051,90.15,90.15,,,
0日00:04:59,5.177,0.0533,0.0267,0.0052,90.41,90.41,,,
0日00:05:00,5.177,0.0671,0.0268,0.0052,90.74,90.73,,,
0日00:05:01,5.169,0.0659,0.0269,0.0052,91.06,91.05,,,
0日00:05:02,5.169,0.079,0.027,0.0052,91.44,91.44,,,
0日00:05:03,5.17,0.0656,0.0271,0.0052,91.76,91.76,,,
0日00:05:04,5.177,0.0532,0.0272,0.0053,92.02,92.01,,,
0日00:05:05,5.177,0.0532,0.0273,0.0053,92.28,92.27,,,
0日00:05:06,5.177,0.0533,0.0273,0.0053,92.54,92.53,,,
0日00:05:07,5.177,0.0533,0.0274,0.0053,92.8,92.79,,,
0日00:05:08,5.177,0.0534,0.0275,0.0053,93.06,93.05,,,
0日00:05:09,5.177,0.0675,0.0276,0.0053,93.38,93.38,,,
0日00:05:10,5.169,0.0828,0.0277,0.0054,93.79,93.78,,,
0日00:05:11,5.169,0.0854,0.0278,0.0054,94.2,94.2,,,
0日00:05:12,5.174,0.0653,0.0279,0.0054,94.52,94.52,,,
0日00:05:13,5.177,0.0532,0.028,0.0054,94.78,94.78,,,
0日00:05:14,5.177,0.0532,0.0281,0.0054,95.04,95.03,,,
0日00:05:15,5.177,0.0533,0.0282,0.0054,95.3,95.29,,,
0日00:05:16,5.177,0.0534,0.0282,0.0055,95.56,95.55,,,
0日00:05:17,5.177,0.0535,0.0283,0.0055,95.82,95.81,,,
0日00:05:18,5.169,0.0664,0.0284,0.0055,96.14,96.14,,,
0日00:05:19,5.168,0.0904,0.0285,0.0055,96.58,96.58,,,
0日00:05:20,5.169,0.0659,0.0286,0.0055,96.9,96.9,,,
0日00:05:21,5.177,0.0533,0.0287,0.0055,97.16,97.16,,,
0日00:05:22,5.177,0.0532,0.0288,0.0056,97.42,97.42,,,
0日00:05:23,5.177,0.0532,0.0289,0.0056,97.68,97.67,,,
0日00:05:24,5.177,0.0534,0.0289,0.0056,97.94,97.93,,,
0日00:05:25,5.177,0.0534,0.029,0.0056,98.2,98.19,,,
0日00:05:26,5.177,0.0558,0.0291,0.0056,98.47,98.46,,,
0日00:05:27,5.158,0.0657,0.0292,0.0056,98.79,98.78,,,
0日00:05:28,5.17,0.0772,0.0293,0.0057,99.16,99.16,,,
0日00:05:29,5.171,0.066,0.0294,0.0057,99.48,99.48,,,
0日00:05:30,5.177,0.0533,0.0295,0.0057,99.74,99.74,,,
0日00:05:31,5.177,0.0533,0.0295,0.0057,100,100,,,
0日00:05:32,5.177,0.0549,0.0296,0.0057,100.27,100.27,,,
